AdvActionMAPAgent	401	(2,6) > 10 > (4,5) > (4,5)	
446	(5,5) > 9 > (1,3) > (1,3)	
703	(9,9) > 13 > (4,2) > (4,2)	
655	(4,5) > 6 > (1,9) > (1,9)	
311	(8,2) > 6 > (8,7) > (8,7)	
625	(0,9) > 9 > (1,1) > (1,1)	
16000		

BasicActionMAPAgent	46	(6,9) > 14 > (6,3) > (6,3)	
336	(6,2) > 4 > (6,7) > (6,7)	
202	(6,8) > 6 > (4,1) > (4,1)	
751	(5,5) > 9 > (1,3) > (1,3)	
708	(9,9) > 13 > (4,2) > (4,2)	
660	(4,5) > 6 > (1,9) > (1,9)	
334	(8,2) > 6 > (8,7) > (8,7)	
630	(0,9) > 9 > (1,1) > (1,1)	
16000		

HelperInitActionMAPAgent	4	(6,9) > 14 > (6,3) > (6,3)	
483	(6,2) > 4 > (6,7) > (6,7)	
217	(6,8) > 6 > (4,1) > (4,1)	
352	(5,5) > 9 > (1,3) > (1,3)	
630	(9,9) > 13 > (4,2) > (4,2)	
571	(4,5) > 6 > (1,9) > (1,9)	
270	(8,2) > 6 > (8,7) > (8,7)	
570	(0,9) > 9 > (1,1) > (1,1)	
16000		

NoHelpAgent	309	(6,9) > 14 > (6,6) > (6,3)	
98	(6,2) > 4 > (5,8) > (6,7)	
459	(6,8) > 3 > (4,1) > (4,1)	
759	(5,5) > 9 > (1,3) > (1,3)	
716	(9,9) > 13 > (4,2) > (4,2)	
668	(4,5) > 6 > (1,9) > (1,9)	
349	(8,2) > 5 > (8,6) > (8,7)	
645	(0,9) > 7 > (1,1) > (1,1)	
11500		

NoHelpRepAgent	308	(6,9) > 14 > (6,6) > (6,3)	
98	(6,2) > 4 > (5,8) > (6,7)	
459	(6,8) > 3 > (4,1) > (4,1)	
759	(5,5) > 9 > (1,3) > (1,3)	
716	(9,9) > 13 > (4,2) > (4,2)	
668	(4,5) > 6 > (1,9) > (1,9)	
349	(8,2) > 5 > (8,6) > (8,7)	
645	(0,9) > 7 > (1,1) > (1,1)	
11500		

AdvActionMAPAgent	65	(8,9) > 10 > (0,7) > (0,7)	
54	(0,1) > 13 > (4,4) > (4,4)	
238	(5,3) > 3 > (9,6) > (9,6)	
497	(6,9) > 7 > (3,5) > (3,5)	
694	(0,8) > 2 > (4,9) > (4,9)	
584	(4,5) > 6 > (3,9) > (3,9)	
404	(3,1) > 4 > (5,2) > (5,2)	
317	(3,6) > 4 > (6,2) > (6,2)	
16000		

AdvActionMAPRepAgent	65	(8,9) > 10 > (0,7) > (0,7)	
54	(0,1) > 13 > (4,4) > (4,4)	
238	(5,3) > 3 > (9,6) > (9,6)	
497	(6,9) > 7 > (3,5) > (3,5)	
694	(0,8) > 2 > (4,9) > (4,9)	
584	(4,5) > 6 > (3,9) > (3,9)	
404	(3,1) > 4 > (5,2) > (5,2)	
317	(3,6) > 4 > (6,2) > (6,2)	
16000		

BasicActionMAPAgent	65	(8,9) > 10 > (0,7) > (0,7)	
54	(0,1) > 13 > (4,4) > (4,4)	
238	(5,3) > 3 > (9,6) > (9,6)	
497	(6,9) > 7 > (3,5) > (3,5)	
694	(0,8) > 2 > (4,9) > (4,9)	
584	(4,5) > 6 > (3,9) > (3,9)	
404	(3,1) > 4 > (5,2) > (5,2)	
317	(3,6) > 4 > (6,2) > (6,2)	
16000		

HelperInitActionMAPAgent	3	(8,9) > 10 > (0,7) > (0,7)	
167	(0,1) > 13 > (4,4) > (4,4)	
72	(5,3) > 3 > (9,6) > (9,6)	
421	(6,9) > 7 > (3,5) > (3,5)	
627	(0,8) > 2 > (4,9) > (4,9)	
493	(4,5) > 6 > (3,9) > (3,9)	
